N,L,abs_error_vs_N96
6,12.55864294603056,2.796857e-03
8,12.55606450542947,2.184165e-04
10,12.55586404578080,1.795688e-05
12,12.55584760703271,1.518135e-06
14,12.55584621955409,1.306563e-07
16,12.55584610028286,1.138506e-08
20,12.55584608898581,8.800249e-11
24,12.55584608889781,0.000000e+00
32,12.55584608889781,0.000000e+00
48,12.55584608889781,0.000000e+00
